year,successful,failed,success_rate,total_horses
2024,150,510,22.727272727272727,2277
2023,162,498,24.545454545454547,2500
2022,122,538,18.484848484848484,1841
2021,124,536,18.787878787878785,1868
2020,140,520,21.21212121212121,2103
2019,153,507,23.18181818181818,2345
2018,157,503,23.78787878787879,2378
2017,161,499,24.393939393939394,2446
2016,160,488,24.691358024691358,2415
2015,164,484,25.308641975308642,2520
2014,152,496,23.456790123456788,2322
2013,146,502,22.530864197530864,2262
2012,154,494,23.765432098765434,2414
2011,146,502,22.530864197530864,2239
2010,156,492,24.074074074074073,2408
2009,156,492,24.074074074074073,2453
2008,152,496,23.456790123456788,2368
2007,155,493,23.919753086419753,2402
2006,155,493,23.919753086419753,2340
2005,154,494,23.765432098765434,2341
2004,153,495,23.61111111111111,2285
2003,150,498,23.14814814814815,2266
2002,121,527,18.67283950617284,1844
2001,143,505,22.067901234567902,2098
2000,153,495,23.61111111111111,2312
